decision_id,university_name,official_homepage_url,recruitment_page_url,decision,review_notes,reviewed_by,reviewed_at_utc
VW5pdmVyc2l0w6AgZGkgUGlzYXx8aHR0cHM6Ly93d3cudW5pcGkuaXQvfHw,Università di Pisa,https://www.unipi.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgR2l1c3Rpbm8gRm9ydHVuYXRvfHxodHRwczovL3d3dy51bmlmb3J0dW5hdG8uZXUvfHw,Università Giustino Fortunato,https://www.unifortunato.eu/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgTWFnbmEgR3JhZWNpYSBkaSBDYXRhbnphcm98fGh0dHBzOi8vd2ViLnVuaWN6Lml0L3x8,Università Magna Graecia di Catanzaro,https://web.unicz.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgTmljY29sw7IgQ3VzYW5vfHxodHRwczovL3d3dy51bmljdXNhbm8uaXQvfHw,Università Niccolò Cusano,https://www.unicusano.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgcGVyIFN0cmFuaWVyaSBkaSBQZXJ1Z2lhfHxodHRwczovL3d3dy51bmlzdHJhcGcuaXQvfHw,Università per Stranieri di Perugia,https://www.unistrapg.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgcGVyIFN0cmFuaWVyaSBkaSBTaWVuYXx8aHR0cHM6Ly93d3cudW5pc3RyYXNpLml0L3x8,Università per Stranieri di Siena,https://www.unistrasi.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgUG9saXRlY25pY2EgZGVsbGUgTWFyY2hlfHxodHRwczovL3d3dy51bml2cG0uaXQvfHw,Università Politecnica delle Marche,https://www.univpm.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgVGVsZW1hdGljYSBJbnRlcm5hemlvbmFsZSBVTklORVRUVU5PfHxodHRwczovL3d3dy51bmluZXR0dW5vdW5pdmVyc2l0eS5uZXQvfHw,Università Telematica Internazionale UNINETTUNO,https://www.uninettunouniversity.net/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgVGVsZW1hdGljYSBQZWdhc298fGh0dHBzOi8vd3d3LnVuaXBlZ2Fzby5pdC98fA,Università Telematica Pegaso,https://www.unipegaso.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgVGVsZW1hdGljYSBVbml2ZXJzaXRhcyBNZXJjYXRvcnVtfHxodHRwczovL3d3dy51bmltZXJjYXRvcnVtLml0L3x8,Università Telematica Universitas Mercatorum,https://www.unimercatorum.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgVW5pQ2FtaWxsdXN8fGh0dHBzOi8vd3d3LnVuaWNhbWlsbHVzLm9yZy98fA,Università UniCamillus,https://www.unicamillus.org/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgVml0YS1TYWx1dGUgU2FuIFJhZmZhZWxlfHxodHRwczovL3d3dy51bmlzci5pdC98fA,Università Vita-Salute San Raffaele,https://www.unisr.it/,,accepted,,,2026-05-17T15:06:43.879Z
